Categories,,,,,,,
WLP - World Leader or Politician ,"CML - Country, Administration,  or Law ","PPP - Party, Pol. Organization, Philosophy",CP - Celebrity or Prominent Indiv.,"PJN - Pundit, Journalist, or News Outlet",M - Misc,,
,,,,,,,
Accused,Accused Category,Accuser,Accuser Category,Quote,Source,Date,Notes
Russia,CML,Hillary Clinton,WLP,"Now if this sounds familiar, it’s what Hitler did back in the ‘30s.",http://www.politico.com/story/2014/03/hillary-clinton-russia-nazi-germany-vladimir-putin-ukraine-crimea-104268.html,3/4/2014,
Liberals,PP,Ken Langone,CP,"I hope it’s not working, because if you go back to 1933, with different words, this is what Hitler was saying in Germany. You don’t survive as a society if you encourage and thrive on envy or jealousy.",http://www.slate.com/blogs/moneybox/2014/03/18/ken_langone_nazis_billionaire_compares_liberals_to_hitler.html,3/18/2014,Co-founder of Home Depot
Liberals,PP,Tom Perkins,CP,"I would call attention to the parallels of fascist Nazi Germany to its war on its 'one percent,' namely its Jews, to the progressive war on the American one percent, namely the 'rich'",http://money.cnn.com/2014/01/26/investing/tom-perkins-nazi-kristallnacht/,1/26/2014,Venture capitalist
Russia,CML, John Baird,WLP,"Asked by Solomon if he was making a comparison to the Nazis, Baird replied, ""When you have one country invading one of its neighbours, and using this type of outrageous and ludicrous rhetoric, it's hard not to.""",http://www.cbc.ca/news/politics/john-baird-compares-russia-s-actions-in-ukraine-to-nazi-invasion-of-czechoslovakia-1.2558118,3/3/2014,Canadian Foreign Affairs Minister
Alex Berezow,CP,Celebrate Life Magazine,JN ,"That kind of science [ignorant of good and evil] was to novelist Mary Shelley, Frankenstein; to Lewis, The Abolition of Man; and to Jews in Nazi Germany, the death camps of Buchenwald and Auschwitz.",http://www.forbes.com/sites/alexberezow/2014/03/07/catholic-pro-life-magazine-compares-me-to-a-nazi-for-supporting-biotechnology/,4/4/2014,Forbes journalist/Catholic Pro-life Magazine 
North Korea,CGL,United Nations,PPP,"He defined North Korea’s human rights situation as “crimes against humanity”, and likened North Korea to “Nazi Germany, South African Apartheid, Cambodia Khmer Rouge”, demanding that North Korea immediately improve its human rights situation",http://www.chinasmack.com/2014/stories/un-compares-north-korea-to-nazi-germany-chinese-reactions.html,3/20/2014,
Muslims,PPP,Pat Robertson,CP,"We didn't hesitate to say the truth, tell the truth about the Nazis, tell the truth about Hitler, tell the truth about fascism, tell the truth, if you will, about communism. But, oh, it's bigoted if you speak out against a force that is slowly but surely trying to exercise domination over the world.",http://www.examiner.com/article/jewish-adl-slams-pat-robertson-for-comparing-muslims-to-nazis,6/8/2011,
Russia,CML,Mark Gatiss,CP,"‘That’s what worries me about things like the Winter Olympics, I feel like that was Berlin in 1936. A lot of people said, “Oh, it’ll be alright.”‘And then three years later it wasn’t. We sort of just let that happen.",http://www.gaystarnews.com/article/gay-actor-mark-gatiss-compares-russia-nazi-germany020414,4/2/2014,Co-creator of Sherlock
